blockNumber,blockTimestamp,token0Amt,token1Amt
16487337,1674692015,873590,1144700
16494501,1674778391,874071,1144071
16501651,1674864755,873503,1144815
16508827,1674951239,873285,1145101
16515974,1675037495,873721,1144529
16523152,1675124015,872368,1146304
16530321,1675210487,872848,1145674
16537407,1675296011,874421,1143613
16544617,1675383239,874377,1143671
16551768,1675469615,871889,1146934
16558932,1675556111,871801,1147049
16566093,1675642451,870669,1148541
16573261,1675728875,869538,1150035
16580454,1675815803,869103,1150610
16587597,1675902251,868842,1150956
16594763,1675988783,867800,1152337
16601903,1676074847,867584,1152626
16609091,1676161607,867150,1153202
16616247,1676247995,866543,1154010
16623399,1676334299,867497,1152741
16630547,1676420711,868061,1151992
16637701,1676507123,870277,1149058
16644862,1676593583,867800,1152337
16651952,1676679911,868712,1151128
16659059,1676766311,867150,1153202
16666192,1676852843,866673,1153836
16673319,1676939231,866197,1154471
16680410,1677025379,867063,1153317
16687513,1677111839,865547,1155337
16694634,1677198263,863559,1157998
16701722,1677284687,861274,1161070
16708850,1677371315,860929,1161535
16715957,1677457559,861575,1160664
16723086,1677543911,860972,1161477
16730211,1677630527,861101,1161302
16737322,1677716867,863559,1157998
16744887,1677808991,860112,1162639
16751506,1677889439,861144,1161244
16758637,1677976103,861661,1160548
16765741,1678062347,860585,1161999
16772860,1678148819,860929,1161535
16779968,1678235135,860069,1162697
16787076,1678321535,859381,1163627
16794189,1678407935,858522,1164791
16801252,1678494119,862394,1159562
16808385,1678580747,892396,1120577
16815483,1678667063,877793,1139219
16822600,1678753343,864207,1157129
16829731,1678839875,863472,1158113
16836842,1678926395,866110,1154587
16843950,1679012651,863688,1157824
16851062,1679099015,869886,1149575
16858199,1679185619,862437,1159504
16865301,1679271887,861790,1160374
16872421,1679358131,864207,1157129
16879533,1679444507,864077,1157303
16886667,1679531039,867453,1152798
16893769,1679617379,868321,1151646
16900887,1679703731,867063,1153317
16908026,1679790347,868104,1151934
16915137,1679876591,866803,1153663
16922253,1679963027,867150,1153202
16929380,1680049607,868756,1151071
16936478,1680135839,867020,1153375
16943597,1680222227,867367,1152914
16950723,1680308651,866673,1153836
16957840,1680395099,866890,1153548
16964929,1680481391,866760,1153721
16972004,1680567791,868495,1151416
16979014,1680654023,868191,1151819
16986064,1680740519,867714,1152453
16993053,1680826871,867020,1153375
17000110,1680913247,867453,1152798
17007191,1680999839,867670,1152510
17014228,1681086167,868017,1152049
17021296,1681172603,868669,1151186
17028349,1681258919,865937,1154818
17035349,1681345283,868104,1151934
17041875,1681431731,869060,1150668
17048887,1681518227,867193,1153144
17055906,1681604615,868408,1151531
17062943,1681690967,868234,1151761
17070004,1681777319,864898,1156204
17077088,1681863863,867410,1152856
17084153,1681950095,863861,1157592
17091186,1682036579,864855,1156262
17098285,1682122967,864725,1156435
17105434,1682209511,865417,1155511
17112557,1682295815,864725,1156435
17119685,1682382167,864682,1156493
17126810,1682468591,865807,1154991
17133940,1682555075,866500,1154067
17141044,1682641415,866153,1154529
17148161,1682727743,865590,1155280
17155289,1682814311,865374,1155568
17162406,1682900663,865028,1156031
17169506,1682986943,863991,1157419
17176615,1683073331,866110,1154587
17183718,1683159755,867844,1152280
17190839,1683246131,867497,1152741
17197963,1683332483,868104,1151934
17205089,1683419063,866197,1154471
17212189,1683505331,866976,1153433
17219309,1683591803,867107,1153260
17226417,1683678131,867887,1152222
17233524,1683764543,867280,1153029
17240560,1683850883,865893,1154875
17247478,1683937271,864855,1156262
17254575,1684023887,864985,1156088
17261624,1684110263,864207,1157129
17268697,1684196567,864812,1156320
17275796,1684283111,864769,1156378
17282857,1684369379,864164,1157187
17289968,1684455755,862609,1159272
17297045,1684542071,863429,1158171
17304175,1684628711,863472,1158113
17311264,1684715051,863688,1157824
17318370,1684801439,863343,1158287
17325463,1684887791,864423,1156840
17332573,1684974155,862437,1159504
17339689,1685060615,860327,1162348
17346816,1685147111,860327,1162348
17353943,1685233547,859252,1163802
17361066,1685319839,861187,1161186
17368186,1685406335,860413,1162232
17375291,1685492735,860241,1162464
17382421,1685579495,859940,1162871
17389492,1685665535,861532,1160722
17396576,1685751875,861446,1160838
17403698,1685838527,861317,1161012
17410772,1685924747,861360,1160954
17417845,1686011159,860241,1162464
17424943,1686097571,861489,1160780
17432039,1686184055,861532,1160722
17439114,1686270431,862523,1159388
17446199,1686356651,863300,1158345
17453324,1686443303,861834,1160316
17460416,1686529655,862006,1160084
17467516,1686616043,861834,1160316
17474616,1686702275,863257,1158403
17481718,1686788747,862351,1159620
17488831,1686875183,862911,1158866
17495942,1686961499,864336,1156956
17503103,1687048127,864509,1156724
17510217,1687134371,864034,1157361
17516003,1687204595,864120,1157245
17524456,1687307147,861963,1160142
17531597,1687393619,865201,1155800
17538723,1687480151,863688,1157824
17545829,1687566527,862092,1159968
17552954,1687653083,861230,1161128
17560052,1687739363,861963,1160142
17567152,1687825703,860241,1162464
17574246,1687912067,860800,1161709
17581390,1687998467,859467,1163511
17588520,1688084819,860413,1162232
17595662,1688171459,859639,1163278
17602780,1688257931,859467,1163511
17609892,1688344127,859424,1163569
17617005,1688430539,860929,1161535
17624120,1688516963,861403,1160896
17631252,1688603375,860155,1162580
17638366,1688689715,858050,1165432
17645484,1688776055,861360,1160954
17652618,1688862719,861015,1161418
17659716,1688948987,861187,1161186
17666804,1689035159,861661,1160548
17673941,1689121859,862135,1159910
17681035,1689208079,865374,1155568
17688145,1689294551,867627,1152568
17695254,1689380939,867931,1152165
17702330,1689467579,867627,1152568
17709423,1689553811,867323,1152971
17716597,1689640679,866716,1153779
17723735,1689727199,867584,1152626
17730798,1689812783,866500,1154067
17737938,1689899159,867800,1152337
17745079,1689985559,867237,1153087
17752243,1690072115,866197,1154471
17759379,1690158383,866760,1153721
17766531,1690244807,865374,1155568
17773664,1690331111,867931,1152165
17780809,1690417415,868104,1151934
17787953,1690503803,867367,1152914
17795100,1690590227,865937,1154818
17802264,1690676807,865677,1155164
17809399,1690763111,865764,1155049
17816572,1690849679,866673,1153836
17823716,1690935863,865417,1155511
17830878,1691022299,864293,1157014
17838026,1691108711,862825,1158982
17845173,1691195075,863516,1158055
17852323,1691281415,863516,1158055
17859472,1691367983,863516,1158055
17866613,1691454311,863516,1158055
17873757,1691540723,862394,1159562
17880901,1691627099,861877,1160258
17888025,1691713235,861575,1160664
17895170,1691799611,860714,1161825
17902328,1691886143,860757,1161767
17909482,1691972507,860284,1162406
17916631,1692058883,858908,1164267
17923780,1692145259,859381,1163627
17930927,1692231647,858737,1164500
17938072,1692318059,857107,1166715
17945208,1692404399,856593,1167415
17952361,1692490931,856635,1167357
17959499,1692577283,856507,1167532
17966642,1692663659,856978,1166890
17973796,1692750059,857107,1166715
17980951,1692836447,857578,1166073
17988100,1692922871,857621,1166015
17995241,1693009223,856807,1167123
18002399,1693095791,857192,1166598
18009534,1693182119,857578,1166073
18016683,1693268519,857321,1166423
18023810,1693354883,858608,1164675
18030947,1693441295,858307,1165083
18038102,1693527791,858823,1164384
18045231,1693614035,857492,1166190
18052366,1693700591,857836,1165723
18059508,1693786931,857621,1166015
18066665,1693873271,857407,1166306
18073808,1693959695,855266,1169226
18080942,1694046095,855052,1169518
18088091,1694132483,855095,1169460
18095228,1694218835,854668,1170044
18102374,1694305379,854625,1170103
18109508,1694391719,854326,1170513
18116647,1694478047,855651,1168700
18123785,1694564519,854668,1170044
18130917,1694650907,855437,1168992
18138034,1694737295,855309,1169167
18145125,1694823671,855651,1168700
18152215,1694910215,854070,1170864
18159252,1694996543,854283,1170571
18166363,1695082931,854497,1170278
18173498,1695169307,854796,1169869
18180650,1695255707,855608,1168758
18187793,1695342143,854326,1170513
18194912,1695428459,854838,1169810
18202079,1695515147,854881,1169752
18209204,1695601379,854326,1170513
18216349,1695687743,855095,1169460
18223492,1695774107,855394,1169050
18230642,1695860543,853600,1171508
18237778,1695946955,854497,1170278
18244910,1696033283,854924,1169693
18252091,1696119935,855908,1168349
18259235,1696206155,856464,1167590
18266404,1696292543,852363,1173208
18273546,1696378943,853216,1172035
18280701,1696465319,853472,1171684
18287851,1696551731,854326,1170513
18295001,1696638119,855223,1169284
18302168,1696724651,855266,1169226
18309313,1696810991,855394,1169050
18316448,1696897331,854967,1169635
18323599,1696983719,855095,1169460
18330727,1697070035,855052,1169518
18337879,1697156567,854240,1170630
18345013,1697242895,853173,1172094
18352178,1697329439,853643,1171449
18359327,1697415791,853557,1171566
18366490,1697502143,853557,1171566
18373640,1697588543,853771,1171274
18380780,1697674943,853984,1170981
18387930,1697761343,853813,1171215
18395080,1697847695,853941,1171039
18402239,1697934227,854368,1170454
18409377,1698020543,853941,1171039
18416518,1698106943,855223,1169284
18423658,1698193307,857664,1165957
18430784,1698279695,855950,1168291
18437932,1698366083,855694,1168641
18445087,1698452459,855352,1169109
18452245,1698539027,855822,1168466
18459379,1698625367,855223,1169284
18466520,1698711755,855565,1168817
18473662,1698798251,854368,1170454
18480802,1698884519,854240,1170630
18487934,1698970943,855437,1168992
18495083,1699057439,855993,1168232
18502220,1699143863,855694,1168641
18509347,1699230203,857836,1165723
18516478,1699316507,859424,1163569
18523631,1699402931,858265,1165141
18530786,1699489343,857664,1165957
18537938,1699575755,859252,1163802
18545089,1699662119,857707,1165898
18552243,1699748675,857107,1166715
18559385,1699835027,856421,1167648
18566533,1699921379,857107,1166715
18573689,1700007731,859166,1163918
18580840,1700094179,859037,1164093
18587994,1700180567,859682,1163220
18595141,1700266955,861704,1160490
18602273,1700353547,860413,1162232
18609401,1700439815,860757,1161767
18616544,1700526215,861790,1160374
18623693,1700612639,862135,1159910
18630832,1700699003,862049,1160026
18637969,1700785343,861489,1160780
18645105,1700871731,861834,1160316
18652264,1700958299,861360,1160954
18659389,1701044603,862006,1160084
18666536,1701131123,862006,1160084
18673677,1701217499,863645,1157882
18680842,1701304055,864207,1157129
18687979,1701390347,864034,1157361
18695112,1701476543,863688,1157824
18702283,1701563099,864293,1157014
18709406,1701649439,864034,1157361
18716558,1701735851,863645,1157882
18723697,1701822251,862221,1159794
18730848,1701908975,861963,1160142
18737946,1701995027,861704,1160490
18745076,1702081379,862308,1159678
18752222,1702167935,861489,1160780
18759369,1702254275,861274,1161070
18766510,1702340615,861877,1160258
18773652,1702426991,861274,1161070
18780790,1702513403,863386,1158229
18787948,1702600139,865807,1154991
18795052,1702686191,866370,1154240
18802174,1702772747,864812,1156320
18809290,1702859075,864725,1156435
18816428,1702945499,864552,1156667
18823517,1703031599,865028,1156031
18830669,1703118455,864596,1156609
18837793,1703204591,865764,1155049
18844917,1703290931,866846,1153606
18852061,1703377523,866240,1154413
18859168,1703463839,866630,1153894
18866268,1703550155,866630,1153894
18873409,1703636555,866760,1153721
18880526,1703723039,867887,1152222
18887635,1703809223,870147,1149231
18894759,1703895755,868625,1151243
18901885,1703982347,869060,1150668
18909021,1704068783,868842,1150956
18916117,1704155015,868842,1150956
18923239,1704241403,866933,1153490
18930378,1704327911,864639,1156551
18937498,1704414215,865807,1154991
18944601,1704500651,864639,1156551
18951667,1704587195,865158,1155857
18958741,1704673463,865201,1155800
18965832,1704759863,865634,1155222
18972957,1704846239,866456,1154125
18980117,1704932879,865158,1155857
18987220,1705019027,865331,1155626
18994369,1705105415,866500,1154067
19001535,1705191959,866067,1154644
19008689,1705278311,865720,1155106
19015842,1705364627,864725,1156435
19023016,1705451135,863602,1157940
19030155,1705537475,862911,1158866
19037312,1705623935,863948,1157477
19051643,1705796759,862825,1158982
19058706,1705883111,862178,1159852
19065796,1705969523,862351,1159620
19072909,1706055875,861920,1160200
19080051,1706142359,863688,1157824
19087180,1706228567,863127,1158577
