address,nftId,liquidity,xsgd,blockNumber
0x3d22ed14124f038ae49e6d06b75510adb234a6ff,424735,0,0,18487934
0x4c88e8177d557dcb5d047662d5b312c1df24ca8e,425621,0,0,18487934
0xa07579547d023c62ab87598ec7099989a3f57e0a,425887,4001055385,4677201736,18487934
0x01575ad404fcdbdb1f0cfbd70931ca54305265d8,427713,0,0,18487934
0x0a88ed3f3ec3cb49de367ef9d5da4994c3a09b08,429847,1303008755,1523206810,18487934
0xc13cf604ac4c6c00fc251c8b0345bbd2665bd7cd,430728,0,0,18487934
0xe53119e1720055eaf6c8e32fae9b905a1f2b96eb,431427,0,0,18487934
0x6999696da5429af994abfbd11b647c74b9fe350f,432552,0,0,18487934
0x213360bd93631744a98ef0bb5b6192346c34574d,433106,0,0,18487934
0x13c5355e5121af46d20f4e861ea396ad6927d377,435083,0,0,18487934
0xb783ea74d78d295945ade6f2e45f3cb0b467ebac,423538,0,0,18487934
0x833f121f6b30a8bf23d6e5329a73822109690647,455736,1632886928,1908831755,18487934
0x7efac8a02650396cdc162a8d989fa2edd87b2a13,459693,0,0,18487934
0x25b0e341157d3134770e8121ecc3ecfab86892f6,464682,0,0,18487934
0x4ebbbff7e4fb62cd751c9402d10a67fd763ef825,475575,0,0,18487934
0x7669161f3176209fdb1262dbb04b91bbcb268378,495468,1092941586,1277639970,18487934
